randomization_prob,car_density,Run,average_speed
0.2,0.1,0,4.623762376237623
0.2,0.1,1,4.637623762376236
0.2,0.1,2,4.454455445544554
0.2,0.1,3,4.593069306930692
0.2,0.1,4,4.54059405940594
0.2,0.1,5,4.607920792079208
0.2,0.1,6,4.579207920792078
0.2,0.1,7,4.594059405940593
0.2,0.1,8,4.636633663366338
0.2,0.1,9,4.556435643564356
0.2,0.1,10,4.59108910891089
0.2,0.1,11,4.640594059405941
0.2,0.1,12,4.618811881188119
0.2,0.1,13,4.607920792079208
0.2,0.1,14,4.536633663366336
0.2,0.1,15,4.6009900990099
0.2,0.1,16,4.581188118811881
0.2,0.1,17,4.606930693069306
0.2,0.1,18,4.604950495049505
0.2,0.1,19,4.43069306930693
0.2,0.1,20,4.575247524752475
0.2,0.1,21,4.5534653465346535
0.2,0.1,22,4.481188118811882
0.2,0.1,23,4.416831683168318
0.2,0.1,24,4.449504950495049
0.2,0.1,25,4.568316831683168
0.2,0.1,26,4.585148514851485
0.2,0.1,27,4.417821782178217
0.2,0.1,28,4.516831683168316
0.2,0.1,29,4.551485148514851
0.2,0.1,30,4.481188118811882
0.2,0.1,31,4.6019801980198025
0.2,0.1,32,4.589108910891089
0.2,0.1,33,4.605940594059406
0.2,0.1,34,4.567326732673267
0.2,0.1,35,4.587128712871287
0.2,0.1,36,4.562376237623763
0.2,0.1,37,4.511881188118812
0.2,0.1,38,4.574257425742575
0.2,0.1,39,4.593069306930693
0.2,0.1,40,4.515841584158417
0.2,0.1,41,4.584158415841584
0.2,0.1,42,4.625742574257425
0.2,0.1,43,4.522772277227723
0.2,0.1,44,4.584158415841584
0.2,0.1,45,4.468316831683168
0.2,0.1,46,4.610891089108911
0.2,0.1,47,4.632673267326733
0.2,0.1,48,4.540594059405941
0.2,0.1,49,4.600990099009901
0.2,0.1,50,4.572277227722773
0.2,0.1,51,4.592079207920792
0.2,0.1,52,4.571287128712871
0.2,0.1,53,4.581188118811881
0.2,0.1,54,4.610891089108911
0.2,0.1,55,4.513861386138614
0.2,0.1,56,4.587128712871287
0.2,0.1,57,4.596039603960396
0.2,0.1,58,4.635643564356436
0.2,0.1,59,4.636633663366336
0.2,0.1,60,4.587128712871286
0.2,0.1,61,4.614851485148515
0.2,0.1,62,4.569306930693069
0.2,0.1,63,4.568316831683169
0.2,0.1,64,4.504950495049505
0.2,0.1,65,4.616831683168316
0.2,0.1,66,4.59108910891089
0.2,0.1,67,4.559405940594059
0.2,0.1,68,4.571287128712871
0.2,0.1,69,4.583168316831683
0.2,0.1,70,4.602970297029703
0.2,0.1,71,4.6297029702970285
0.2,0.1,72,4.551485148514851
0.2,0.1,73,4.543564356435642
0.2,0.1,74,4.616831683168316
0.2,0.1,75,4.43069306930693
0.2,0.1,76,4.567326732673268
0.2,0.1,77,4.59009900990099
0.2,0.1,78,4.592079207920793
0.2,0.1,79,4.525742574257426
0.2,0.1,80,4.626732673267327
0.2,0.1,81,4.3336633663366335
0.2,0.1,82,4.587128712871287
0.2,0.1,83,4.265346534653465
0.2,0.1,84,4.526732673267326
0.2,0.1,85,4.544554455445544
0.2,0.1,86,4.594059405940594
0.2,0.1,87,4.543564356435644
0.2,0.1,88,4.482178217821783
0.2,0.1,89,4.663366336633663
0.2,0.1,90,4.605940594059406
0.2,0.1,91,4.532673267326732
0.2,0.1,92,4.578217821782178
0.2,0.1,93,4.428712871287129
