j,segregations
0.1,0.512370386904762
0.15000000000000002,0.549463392857143
0.20000000000000004,0.6044630952380953
0.25000000000000006,0.6583678571428572
0.30000000000000004,0.7299327380952381
0.3500000000000001,0.7741473214285715
0.40000000000000013,0.8342729166666666
0.45000000000000007,0.8746034226190476
0.5000000000000001,0.936871875
0.5500000000000002,0.9335607142857143
0.6000000000000002,0.9767779761904762
0.6500000000000001,0.9763613095238095
0.7000000000000002,0.99220625
0.7500000000000002,0.6074242559523809
0.8000000000000002,0.5602578869047617
0.8500000000000002,0.5341477678571429
0.9000000000000002,0.5138357142857143
